id,preset,phase_deg,mode,classification,runtime_s,phase1_dv_m_s,phase2_dv_m_s,deorbit_dv_m_s,fuel_through_deorbit_kg,duration_to_entry_s,remaining_stack_mass_kg,entry_mach,peak_control_force_N,saturation_s,tracking_error_m,handoff_error_m,message
1,APOLLO7_PREFLIGHT_TRIM,60,-R,MODEL_DOMAIN_UNSUPPORTED,11.8277431,113.256818415626,7.47301362365545,152.906159853326,990.751480500532,34745.2079295667,6617.50994141647,28.7930570949314,13.9836272061822,0,0.0114788217142628,0.000712458638214838,"AoA query outside the user profile domain."
2,APOLLO7_PREFLIGHT_TRIM,90,-R,MODEL_DOMAIN_UNSUPPORTED,6.2466102,114.072760163227,7.47742654357606,152.276606707135,991.39521182101,45199.3640710466,6616.86621009599,28.7946330458164,13.9376550352159,0,0.00858743322489695,0.000587076927748821,"AoA query outside the user profile domain."
3,APOLLO7_PREFLIGHT_TRIM,120,-R,MODEL_DOMAIN_UNSUPPORTED,5.270819,115.80643284781,7.48506246064434,152.67486421012,998.609450928214,55662.0405036524,6609.65197098879,28.8283535918694,13.8906280951867,0,0.0100615982831523,0.000257248052294719,"AoA query outside the user profile domain."
4,APOLLO7_PREFLIGHT_TRIM,90,+R,MODEL_DOMAIN_UNSUPPORTED,4.8721098,114.072760163227,8.41723764702867,152.385811519662,994.93329161985,45199.4967988522,6613.32813029715,28.7947130862721,13.9290907351685,0,0.00871512530223547,0.000585799955145272,"AoA query outside the user profile domain."
5,APOLLO7_PREFLIGHT_TRIM,90,+V,MODEL_DOMAIN_UNSUPPORTED,5.1763891,114.072760163227,1.94853340860078,151.958650974077,971.64048443209,46108.4352999761,6636.62093748491,28.8381667740276,2.3405775418218,0,0.00695673978619333,0.000333243179619665,"AoA query outside the user profile domain."
6,APOLLO7_PREFLIGHT_TRIM,90,-V,MODEL_DOMAIN_UNSUPPORTED,4.8812842,114.072760163227,1.82859941340282,151.95857808271,971.234400508321,46108.4350756833,6637.02702140868,28.838165911497,2.34079547835896,0,0.00665818494416261,0.000332087299562005,"AoA query outside the user profile domain."
7,ARD,90,-R,MODEL_DOMAIN_UNSUPPORTED,4.7747545,114.072760163227,7.47742654357302,178.925218305571,681.80032049551,45012.6125296933,4118.19967950449,28.7243399435844,8.7931710622241,0,0.00858743322489695,0.000587076927748821,"ARD_FIXED_BODY_HYPERSONIC outside declared Mach/AoA domain (M=28.7243, alpha=20 deg)."
8,HORUS_2B,90,-R,MODEL_DOMAIN_UNSUPPORTED,5.0750187,114.072760163227,7.47742654357866,129.365122461215,3125.72080409967,45459.7812539433,22903.2791959003,28.8689206798741,47.682801995548,0,0.00858743322489695,0.000587076927748821,"HORUS_CLEAN_TABLE outside declared Mach/AoA domain (M=28.8689, alpha=40 deg)."
